;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
Indice global;100.0;101.9;110.1;110.1;110.1;117.2;116.4;124.0;119.9;128.9;128.2;117.3;136.6;156.3;153.6
    Charbon;100.0;106.7;115.0;114.8;89.4;66.5;47.6;22.8;5.1;0.3;0.1;0.0;0.0;0.0;0.0
    Pétrole raffiné;100.0;101.7;108.0;100.0;96.7;104.0;101.8;118.7;110.7;112.2;103.1;72.9;97.7;109.0;98.5
    Electricité;100.0;102.1;112.6;123.7;129.1;137.5;139.3;135.7;137.4;156.6;168.0;182.7;195.4;227.3;235.2
