;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Total;4686.0;4675.0;4733.0;4865.0;4932.0;5156.0;5327.0;5446.0;5849.0;6282.0;6486.0;6723.0;7415.0;7575.0;8312.0;8011.0;8447.0;8497.0;9222.0;9730.0;9775.0;10302.0;10461.0;10961.0;11511.0;12190.0;12901.0;13734.0;14764.0;15139.0;16188.0;17157.0;17813.0;18371.0;18710.0;19378.0;19694.0;20808.0;20898.0;21743.0;20161.0;21873.0
Electricité;397.0;268.0;149.0;125.0;95.0;126.0;167.0;215.0;243.0;301.0;317.0;329.0;495.0;382.0;426.0;223.0;544.0;576.0;650.0;696.7;818.2;686.8;631.0;795.0;864.0;513.0;831.0;1215.0;1423.0;1972.0;2139.0;1934.0;1920.0;2480.6;2489.0;5329.0;2550.0;2738.0;2563.0;1720.0;1875.0;1872.0
Charbon;371.0;445.0;438.0;560.0;507.0;663.0;899.0;1043.0;1029.0;1136.0;1096.0;1194.0;1107.0;1209.0;1348.0;1633.0;2090.0;1991.0;2375.0;2270.8;2684.5;3412.7;3337.0;3439.0;3620.0;3716.0;3878.0;3910.0;3740.0;3475.0;3498.0;3740.0;3916.0;3989.0;4904.0;5329.0;5152.0;5308.0;6050.0;7601.0;7467.0;7599.0
Produits Pétroliers;3866.0;3897.0;4086.0;4117.0;4267.0;4296.0;4192.0;4133.0;4513.0;4798.0;5030.0;5170.0;5795.0;5966.0;6520.0;6144.0;5799.0;5904.0;6169.0;6729.2;6234.6;6164.9;6445.0;6681.0;6982.0;7582.0;7713.0;8069.0;9068.0;9106.0;9918.0;10681.8;10791.1;10751.0;10202.0;10472.0;10848.0;11627.0;11261.0;11455.0;10068.0;11435.0
Gaz Naturel;51.8;64.5;60.0;63.1;63.0;71.8;69.2;56.0;63.3;48.0;43.3;29.5;18.2;17.8;17.4;11.0;14.0;25.8;28.3;33.3;37.9;37.6;48.0;46.0;45.0;379.0;479.0;540.0;533.0;586.0;633.0;801.0;1186.0;1150.0;1118.0;1138.0;1144.0;1135.0;1024.0;967.0;751.0;967.0
