;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Total;843.0;744.0;635.0;626.0;643.0;653.0;692.0;643.0;682.0;643.0;669.0;678.0;606.0;483.0;612.0;539.0;813.0;791.0;654.0;333.0;271.0;328.3;330.0;478.0;528.0;346.0;370.0;365.0;374.0;819.0;1162.0;786.2;696.0;1175.0;1022.0;1239.0;1283.0;1278.0;1764.0;2054.0;1901.0;2019.0
Electricité hydraulique;397.0;268.0;149.0;125.0;95.0;126.0;167.0;215.0;243.0;301.0;317.0;329.0;255.0;118.0;222.0;160.0;511.0;544.0;464.0;216.8;187.2;226.9;219.0;375.0;414.0;251.0;256.0;235.0;238.0;668.0;944.0;556.1;424.0;724.0;426.0;490.0;326.0;308.0;440.0;328.0;226.0;213.0
Electricité Eolien;;;;;;;;;;;;;;;;;;;;0.0;16.6;53.3;50.0;46.0;50.0;50.0;48.0;70.0;77.0;102.0;171.3;179.9;189.0;353.0;500.0;655.0;780.0;789.0;999.0;1228.0;1186.0;1328.0
Pétrole et Gaz Naturel;65.0;82.0;75.0;80.0;78.0;93.0;91.0;73.0;82.0;60.0;57.0;41.0;28.0;27.0;25.0;16.0;19.0;37.0;39.0;44.0;50.0;47.0;48.0;45.0;55.0;45.0;66.0;56.0;46.0;39.0;47.0;50.0;82.0;99.0;96.0;73.0;73.0;73.0;78.0;87.0;87.0;87.0
Electricité solaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;104.0;108.0;247.0;411.0;402.0;478.0
