;1987;1988;1989;1990;1991;1992
Indice global;100.0;108.3;115.5;122.7;118.2;129.2
    Combustibles solides et pétrole brut;100.0;100.4;79.5;82.9;86.9;89.2
    Pétrole raffiné et derivées du pétrole et charbon;100.0;110.5;117.8;125.9;118.4;132.4
    Electricité - autres énergies - eau;100.0;104.1;112.9;118.6;120.0;124.9
