;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
village;557.0;1 601;2 644;4 294;6 009;7 769;9 725;12 289;15 899;20 738;24 833;28 476;30 766;32 007;33 150;34 070;35 600;37 099;38 489;39 036;39 445;39 943;40 456;40829.0;41146.0;41471.0;41649.0
Foyer;72 133;180 426;286 899;440 499;592 082;703 312;823 510;979 489;1 158 175;1 391 843;1 560 952;1 722 241;1 815 043;1 866 482;1 906 330;1 938 786;1 985 748;2 027 159;2 067 109;2 087 792;2 099 675;2 111 100;2 124 483;2134596.0;2142042.0;2149493.0;2154105.0
