,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
Total,,,,,,,,,,,,,,,,,,,,,843.0,744.0,635.0,626.0,643.0,653.0,692.0,643.0,682.0,643.0,669.0,678.0,606.0,483.0,612.0,539.0,813.0,791.0,654.0,333.0,271.0,328.3,330.0,478.0,528.0,346.0,370.0,365.0,374.0,819.0,1162.0,786.2,696.0,1175.0,1022.0,1239.0,1283.0,1278.0,1764.0,2054.0,1901.0,2019.0,,,,,,
Electricité hydraulique,,,,,,,,,,,,,,,,,,,,,397.0,268.0,149.0,125.0,95.0,126.0,167.0,215.0,243.0,301.0,317.0,329.0,255.0,118.0,222.0,160.0,511.0,544.0,464.0,216.8,187.2,226.9,219.0,375.0,414.0,251.0,256.0,235.0,238.0,668.0,944.0,556.1,424.0,724.0,426.0,490.0,326.0,308.0,440.0,328.0,226.0,213.0,,,,,,
Electricité Eolien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.6,53.3,50.0,46.0,50.0,50.0,48.0,70.0,77.0,102.0,171.3,179.9,189.0,353.0,500.0,655.0,780.0,789.0,999.0,1228.0,1186.0,1328.0,,,,,,
Pétrole et Gaz Naturel,,,,,,,,,,,,,,,,,,,,,65.0,82.0,75.0,80.0,78.0,93.0,91.0,73.0,82.0,60.0,57.0,41.0,28.0,27.0,25.0,16.0,19.0,37.0,39.0,44.0,50.0,47.0,48.0,45.0,55.0,45.0,66.0,56.0,46.0,39.0,47.0,50.0,82.0,99.0,96.0,73.0,73.0,73.0,78.0,87.0,87.0,87.0,,,,,,
Electricité solaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,104.0,108.0,247.0,411.0,402.0,478.0,,,,,,
