Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Indice de production énergétique base 2015 (trimestriel),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,Haut Commissariat au Plan,
Période disponible ,2016T1 - 2026T1,
Date de dernière mise à jour ,2026-06-22 13:10:58.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Indice de production énergétique base 2015,
Unité,Indice,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
