;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Fuel;848614.0;55070.0;703398.0;981055.0;610612.0;291582.0;421988.0;529271.0;574204.0;814622.0;751335.0;734849.0;1102366.0;969599.0;1279241.0;1601793.0;1615336.0;1264916.0;712349.0;591579.0;771069.7;859428.6;307421.3;160802.0;94356.0;295596.0;1073274.0
Charbon local;340630.0;12470.0;302622.0;216303.0;123545.0;340994.0;290670.0;355730.0;345370.0;339628.0;330269.0;325466.0;393870.0;326577.0;985572.0;1289064.0;1361084.0;1439924.0;1438283.0;1469141.0;1317991.0;1392327.0;2733977.0;2381937.0;2346368.0;2623121.0;2604604.0
Charbon importé;1917721.0;38766.0;723379.0;649869.0;670235.0;556849.0;588932.0;630277.0;639074.0;679438.0;677417.0;664045.0;351227.0;223427.0;3632455.0;3690273.0;3328826.0;3464525.0;5077464.0;5661196.0;5452382.0;5658867.0;5689720.0;5662880.0;5646708.0;5639806.0;5702971.0
Petcoke;;;;;125112.0;100104.0;67824.0;81091.0;145217.0;182650.0;122648.0;90461.0;72165.0;40382.0;144500.0;290148.0;328168.0;553346.0;585917.0;623315.0;703877.0;727217.0;793765.0;568073.0;601868.0;752331.0;734810.0
Gasoil;7587.0;818.0;9028.0;12069.0;12837.0;10386.0;7964.0;5424.0;3213.0;3274.0;3600.0;37559.0;74760.0;13211.0;32790.0;28653.0;21561.0;18091.0;15473.0;10439.0;11867.6;9679.1;5933.0;4337.0;3696.0;6842.0;11664.0
Anthracite;;;;;;6357.0;;;;;;;;;;;;;;;;;;;;;
