;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Production du gaz naturel (en millions de m3);68.0;85.0;79.0;83.0;83.0;94.0;91.0;74.0;83.0;62.0;57.0;38.9;24.0;24.0;25.0;14.0;18.0;34.0;37.0;44.0;50.0;49.0;48.0;46.0;56.0;39.5;56.4;61.0;50.0;41.0;49.9;56.2;75.0;92.0;92.0;87.6;80.2;81.2;86.8;98.8;98.3;110.0
Production du pétrole brut (condensdat) ;14.0;19.0;16.0;17.0;16.0;22.0;23.0;18.0;20.0;13.0;15.0;11.8;11.0;10.0;8.0;5.0;5.0;12.0;12.0;11.0;13.0;10.0;13.0;10.0;11.0;32.3;11.2;11.1;9.0;8.0;9.4;8.0;7.3;7.3;5.3;5.1;4.8;4.6;4.8;4.7;4.1;4.2
