,Crédit bancaire Industries extractives (MDH),IPM — Industries extractives,IPM — Extraction de minerais métalliques,IPM — Autres industries extractives,Comptes débiteurs et crédits de trésorerie — Industrie d'extraction (MDH),Crédits à l'équipement — Industrie d'extraction (MDH)
2021-01-01,24517.9464,132.0,103.5,133.5,4800.4264,17265.1227
2021-04-01,26981.4515,139.8,87.9,142.5,8115.4376,16346.7828
2021-07-01,22997.3155,148.2,102.6,150.5,7274.6728,11521.6931
2021-10-01,16463.1021,146.2,108.2,148.1,1894.5536,10442.458
2022-01-01,16704.2231,118.7,104.7,119.4,1398.5821,11190.243
2022-04-01,18124.5015,118.0,87.9,119.5,3658.9321,10268.23
2022-07-01,19500.4226,120.1,104.6,120.9,3474.1451,12258.5874
2022-10-01,19193.7925,104.0,117.1,103.3,3098.5431,12414.7181
2023-01-01,23371.101,90.0,103.3,89.3,3729.3778,13685.5627
2023-04-01,31570.2385,96.0,89.2,96.3,3790.0118,16632.1856
2023-07-01,31281.2744,112.8,105.1,113.2,4458.8709,16252.7757
2023-10-01,34194.7448,137.6,117.3,138.7,7212.2664,16572.0688
2024-01-01,35103.8561,115.7,103.5,116.3,8985.6102,16206.9994
2024-04-01,31480.1115,123.8,89.7,125.6,6431.1448,16163.8341
2024-07-01,37708.7258,138.1,105.3,139.8,12998.722,16230.8713
2024-10-01,38387.1472,150.2,117.5,151.9,13641.6661,16741.6702
2025-01-01,41388.7477,128.2,103.7,129.5,16964.1348,16402.5354
2025-04-01,28401.3308,144.6,89.8,147.4,3915.6726,17829.7035
2025-07-01,28957.0418,148.3,108.7,150.3,4620.9247,17976.103
2025-10-01,29313.7903,143.6,118.3,144.9,7395.5772,16385.3985
2026-01-01,35864.4399,125.8,104.4,126.9,12557.1145,17955.0536
