branche,p_etoile,R2,n_obs,prevision,statut
Agriculture,4,0.18648798447750367,45,0.009403118294208602,OK
Transports,8,0.481588991796655,45,-0.036126711688985805,OK
Information_communication,3,0.09267425054079959,45,0.01901405952456887,OK
Services_aux_entreprises,4,0.24640861014537568,45,0.009592221879196259,OK
Administration_publique,4,0.45027714898837345,45,-0.00648344178281033,OK
Education_sante,4,0.4242602517304509,45,0.011522639112746074,OK
Autres_services,8,0.8043574657541832,45,-0.08907277401517183,OK
