branche,indicateur,source,f_pvalue,r2,date,valeur
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-04-01,1584037.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-05-01,2021436.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-06-01,2812542.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-07-01,3344509.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-08-01,3868822.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-09-01,4340634.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-10-01,4635115.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-11-01,5205582.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2014-12-01,6037219.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-01-01,408543.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-02-01,942283.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-03-01,1447313.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-04-01,1792400.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-05-01,2309047.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-06-01,3246247.0
Pêche,Débarquement de produits de pêche EN VALEUR ,Manar-Stat,0.06500558497158099,0.14397415900349397,2015-07-01,3690838.0
