equation,type,predicteur,retard,coefficient
Finances et assurances,A_l,Industrie de transformation,1,9.63302828557187e-5
Finances et assurances,A_l,Finances et assurances,1,-5.826941720176587e-5
Finances et assurances,A_l,Hébergement-restauration,1,-5.292847872898121e-5
Finances et assurances,A_l,Pêche,1,1.4046866275048861e-4
Finances et assurances,A_l,Industrie d'extraction,1,-6.752972918941866e-5
Finances et assurances,A_l,Construction,1,-1.5659014029187975e-4
Finances et assurances,A_l,Information-communication,1,1.267587304472151e-4
Finances et assurances,A_l,Immobilier,1,6.253458772804312e-4
Finances et assurances,A_l,Agriculture,1,-1.2453028226942116e-5
Finances et assurances,A_l,Commerce,1,2.3712875031150875e-4
Finances et assurances,A_l,Transports,1,-2.064112443599681e-5
Finances et assurances,A_l,"Électricité, gaz, eau",1,2.123125667788737e-5
Finances et assurances,A_l,Services aux entreprises,1,-8.181860502328177e-5
Finances et assurances,A_l,Administration publique,1,2.919754532165929e-4
Finances et assurances,A_l,Éducation-santé,1,-0.0013402334895566137
Finances et assurances,A_l,Autres services,1,3.0136754838379733e-4
Finances et assurances,A_l,Industrie de transformation,2,-3.563756496839727e-5
Finances et assurances,A_l,Finances et assurances,2,-7.305279201795657e-5
Finances et assurances,A_l,Hébergement-restauration,2,-1.267193236199948e-5
Finances et assurances,A_l,Pêche,2,-1.3393790180964364e-5
Finances et assurances,A_l,Industrie d'extraction,2,2.4676717607826184e-6
Finances et assurances,A_l,Construction,2,2.6629879262002127e-5
Finances et assurances,A_l,Information-communication,2,-9.46917948574984e-7
Finances et assurances,A_l,Immobilier,2,1.7844889519269945e-4
Finances et assurances,A_l,Agriculture,2,-4.2024323768641715e-5
Finances et assurances,A_l,Commerce,2,-1.9275628350208075e-5
Finances et assurances,A_l,Transports,2,5.447678086983011e-9
Finances et assurances,A_l,"Électricité, gaz, eau",2,-8.913480572550786e-6
Finances et assurances,A_l,Services aux entreprises,2,-3.279027816932286e-5
Finances et assurances,A_l,Administration publique,2,4.87370514638961e-5
Finances et assurances,A_l,Éducation-santé,2,-3.313056659269059e-4
Finances et assurances,A_l,Autres services,2,1.751616859726522e-4
Finances et assurances,A_l,Industrie de transformation,3,4.152775918134905e-5
Finances et assurances,A_l,Finances et assurances,3,3.157681366021616e-5
Finances et assurances,A_l,Hébergement-restauration,3,1.5361880559914533e-5
Finances et assurances,A_l,Pêche,3,5.388932927902894e-6
Finances et assurances,A_l,Industrie d'extraction,3,2.3066709807811635e-6
Finances et assurances,A_l,Construction,3,3.3132008621892677e-5
Finances et assurances,A_l,Information-communication,3,5.880152249023025e-6
Finances et assurances,A_l,Immobilier,3,2.834227590905593e-5
Finances et assurances,A_l,Agriculture,3,7.35492150044101e-6
Finances et assurances,A_l,Commerce,3,5.570487923095992e-5
Finances et assurances,A_l,Transports,3,2.7293040409136992e-5
Finances et assurances,A_l,"Électricité, gaz, eau",3,2.2211648612589586e-5
Finances et assurances,A_l,Services aux entreprises,3,2.7739736471610852e-5
Finances et assurances,A_l,Administration publique,3,6.202246918893378e-5
Finances et assurances,A_l,Éducation-santé,3,-5.906406074355086e-5
Finances et assurances,A_l,Autres services,3,3.225461888833863e-5
Finances et assurances,A_l,Industrie de transformation,4,2.6458121681434952e-6
Finances et assurances,A_l,Finances et assurances,4,1.6989749057016493e-5
Finances et assurances,A_l,Hébergement-restauration,4,2.03201449574246e-6
Finances et assurances,A_l,Pêche,4,-1.0336305847076166e-5
Finances et assurances,A_l,Industrie d'extraction,4,2.541523981326423e-6
Finances et assurances,A_l,Construction,4,-9.413471189094274e-6
Finances et assurances,A_l,Information-communication,4,-3.993549982060625e-5
Finances et assurances,A_l,Immobilier,4,-1.937793571619315e-5
Finances et assurances,A_l,Agriculture,4,1.2588862727522213e-5
Finances et assurances,A_l,Commerce,4,-7.38962352758561e-7
Finances et assurances,A_l,Transports,4,-5.948278215969361e-6
Finances et assurances,A_l,"Électricité, gaz, eau",4,-4.183089464844036e-6
Finances et assurances,A_l,Services aux entreprises,4,2.15898304154585e-6
Finances et assurances,A_l,Administration publique,4,-6.039771238803346e-6
Finances et assurances,A_l,Éducation-santé,4,-8.247274327011186e-6
Finances et assurances,A_l,Autres services,4,3.321578319048225e-5
Finances et assurances,A_l,Industrie de transformation,5,1.8235133458241034e-7
Finances et assurances,A_l,Finances et assurances,5,9.308680465435097e-6
Finances et assurances,A_l,Hébergement-restauration,5,-3.4450558111427445e-7
Finances et assurances,A_l,Pêche,5,3.096675473625907e-6
Finances et assurances,A_l,Industrie d'extraction,5,2.300953195670057e-6
Finances et assurances,A_l,Construction,5,1.8123943016840677e-5
Finances et assurances,A_l,Information-communication,5,2.034119767049029e-5
Finances et assurances,A_l,Immobilier,5,-2.0448403622462582e-5
Finances et assurances,A_l,Agriculture,5,-4.708225845179717e-6
Finances et assurances,A_l,Commerce,5,-2.3120740729096677e-5
Finances et assurances,A_l,Transports,5,-1.0678067157687327e-6
Finances et assurances,A_l,"Électricité, gaz, eau",5,4.315164750168877e-6
Finances et assurances,A_l,Services aux entreprises,5,5.973413278614709e-6
Finances et assurances,A_l,Administration publique,5,-4.001232345348374e-5
Finances et assurances,A_l,Éducation-santé,5,3.9732719622086216e-5
Finances et assurances,A_l,Autres services,5,1.509722949232746e-5
Hébergement-restauration,constante,NA,0,-0.011390160130164962
Hébergement-restauration,A_l,Industrie de transformation,1,8.029776476163583e-5
Hébergement-restauration,A_l,Finances et assurances,1,0.009539944406258563
Hébergement-restauration,A_l,Hébergement-restauration,1,0.0016705117388882698
Hébergement-restauration,A_l,Pêche,1,-9.21123669532527e-4
Hébergement-restauration,A_l,Industrie d'extraction,1,8.839353706401488e-5
Hébergement-restauration,A_l,Construction,1,0.0010888605687654565
Hébergement-restauration,A_l,Information-communication,1,-0.0023307846978629907
Hébergement-restauration,A_l,Immobilier,1,0.014005087288069422
Hébergement-restauration,A_l,Agriculture,1,9.333050484464686e-4
Hébergement-restauration,A_l,Commerce,1,0.002424013492582226
Hébergement-restauration,A_l,Transports,1,-0.0011035245517458433
Hébergement-restauration,A_l,"Électricité, gaz, eau",1,-3.5296685407935457e-4
Hébergement-restauration,A_l,Services aux entreprises,1,0.003262238116677506
Hébergement-restauration,A_l,Administration publique,1,-0.0011055820648975675
Hébergement-restauration,A_l,Éducation-santé,1,0.018463333479495827
Hébergement-restauration,A_l,Autres services,1,0.05450448908340277
Hébergement-restauration,A_l,Industrie de transformation,2,-1.7770085611532548e-4
Hébergement-restauration,A_l,Finances et assurances,2,-4.7363197062245895e-4
Hébergement-restauration,A_l,Hébergement-restauration,2,-5.386324296865295e-4
Hébergement-restauration,A_l,Pêche,2,2.5964400143836577e-4
Hébergement-restauration,A_l,Industrie d'extraction,2,-6.434146404874806e-6
Hébergement-restauration,A_l,Construction,2,2.9846651936825034e-4
Hébergement-restauration,A_l,Information-communication,2,2.04574709464586e-4
Hébergement-restauration,A_l,Immobilier,2,4.020953046807638e-4
Hébergement-restauration,A_l,Agriculture,2,-1.8273387897491e-5
Hébergement-restauration,A_l,Commerce,2,-3.6307086615158454e-4
Hébergement-restauration,A_l,Transports,2,-1.1324975169838897e-4
Hébergement-restauration,A_l,"Électricité, gaz, eau",2,1.8268498303323206e-4
Hébergement-restauration,A_l,Services aux entreprises,2,-5.660035063813839e-5
Hébergement-restauration,A_l,Administration publique,2,-5.723103253138735e-4
Hébergement-restauration,A_l,Éducation-santé,2,9.686388953413834e-4
Hébergement-restauration,A_l,Autres services,2,7.520659435293667e-4
Hébergement-restauration,A_l,Industrie de transformation,3,-1.9578101915315168e-4
Hébergement-restauration,A_l,Finances et assurances,3,-2.161355237693189e-4
Hébergement-restauration,A_l,Hébergement-restauration,3,-1.2839623958955956e-4
Hébergement-restauration,A_l,Pêche,3,-3.731615407457406e-5
Hébergement-restauration,A_l,Industrie d'extraction,3,1.88864557306683e-5
Hébergement-restauration,A_l,Construction,3,-8.670069059592059e-4
Hébergement-restauration,A_l,Information-communication,3,-2.0567257472899522e-5
Hébergement-restauration,A_l,Immobilier,3,1.3842653741184702e-4
Hébergement-restauration,A_l,Agriculture,3,-3.4104695780463034e-5
Hébergement-restauration,A_l,Commerce,3,-4.4053508743306023e-4
Hébergement-restauration,A_l,Transports,3,-2.0182722715312554e-5
Hébergement-restauration,A_l,"Électricité, gaz, eau",3,1.1156193197802408e-4
Hébergement-restauration,A_l,Services aux entreprises,3,-3.5784771969272426e-4
Hébergement-restauration,A_l,Administration publique,3,-2.818526164406709e-4
Hébergement-restauration,A_l,Éducation-santé,3,9.066967959757233e-6
Hébergement-restauration,A_l,Autres services,3,-4.867229889776526e-4
Hébergement-restauration,A_l,Industrie de transformation,4,-2.040810193121384e-4
Hébergement-restauration,A_l,Finances et assurances,4,-5.9619921416046015e-5
Hébergement-restauration,A_l,Hébergement-restauration,4,-4.328522093038957e-5
Hébergement-restauration,A_l,Pêche,4,1.8076503031693632e-5
Hébergement-restauration,A_l,Industrie d'extraction,4,1.6647586348432236e-5
Hébergement-restauration,A_l,Construction,4,-7.320038074969586e-4
Hébergement-restauration,A_l,Information-communication,4,4.897035614337707e-5
Hébergement-restauration,A_l,Immobilier,4,-1.989573780782696e-4
Hébergement-restauration,A_l,Agriculture,4,-8.755377656883864e-6
Hébergement-restauration,A_l,Commerce,4,-2.0922988067277625e-4
Hébergement-restauration,A_l,Transports,4,-2.3616159515767792e-4
