"lambda","rmsfe"
0.01,0.130625349307846
0.02,0.130871467879
0.03,0.131402386599418
0.05,0.13334857377652
0.1,0.138977709550648
0.15,0.141801425691295
0.2,0.143480564961745
0.3,0.1479588571765
