Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Primes émises par les sociétés d'assurance,
frequence,Annuelle,
Scenario ,Reel,
Source ,DAPS,"Direction des Assurances et de la Prévoyance Sociale
"
Période disponible ,1976 - 2024,
Date de dernière mise à jour ,2025-04-24 12:29:49.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Primes émises par les sociétés d'assurance,
Unité,Dirham,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
