;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Agglomération;20687.0;20743.0;22316.0;22570.0;21904.0;22789.0;22830.0;25135.0;26779.0;28288.0;30327.0;33204.0;38139.0;38574.0;40702.0;39777.0;36510.0;39575.0;40471.0;45921.0;47415.0;49654.0;51992.0;53249.0;51741.0;52191.0;52041.0;56415.5806;62902.0;65747.0;65411.0;66380.0;67130.0;68455.0;70770.0;79142.0;82475.0;90276.0;96445.0;112364.0;92841.0;126212.0;128752.0;138103.0;138905.0
Hors agglomération;14487.0;13699.0;13570.0;13250.0;12359.0;12592.0;13674.0;14036.0;16407.0;18088.0;19751.0;23105.0;26590.0;26535.0;30961.0;24468.0;23582.0;24083.0;25493.0;27804.0;30477.0;31915.0;33134.0;35151.0;32303.0;28690.0;34364.0;36686.4194;40167.0;41038.0;36839.0;39853.0;39387.0;37417.0;33961.0;39676.0;40472.0;43461.0;45289.0;40600.0;30507.0;42627.0;38855.0;45047.0;66924.0
Ensemble;35174.0;34442.0;35886.0;35820.0;34263.0;35381.0;36504.0;39171.0;43186.0;46376.0;50078.0;56309.0;64729.0;65109.0;71663.0;64245.0;60092.0;63658.0;65964.0;73725.0;77892.0;81569.0;85126.0;88400.0;84044.0;80881.0;86405.0;93102.0;103069.0;106785.0;102250.0;106233.0;106517.0;105872.0;104731.0;118818.0;122947.0;133737.0;141734.0;152964.0;123348.0;168839.0;167607.0;183150.0;205829.0
