;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
1ère classe;128.0;129.0;130.0;105.0;126.0;135.0;137.0;140.0;149.0;153.0;156.0;197.0;224.0;265.0;291.6;317.0;334.0;361.0;317.0;530.0;478.0;581.0;583.0;604.0
2ème classe;1420.0;1770.0;1751.0;1459.0;1650.0;1721.0;1738.0;1740.0;1807.0;1866.0;1989.0;2195.0;2421.0;2722.0;3041.6;3342.0;3486.0;3829.0;3342.0; 4 289;4 549;4 735;4 866;4 903
Total;2233.0;1904.0;1881.0;1564.0;1776.0;1856.0;1875.0;1880.0;1956.0;2019.0;2145.0;2374.0;2645.0;2987.0;3333.2;3659.0;3820.0;4190.0;3659.0; 4 819;5 091;5 316;5 449;5 507
