;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Wagons complets ; 27 566; 24 815; 27 299; 26 911; 27 076; 28 559; 28 292; 27 948; 26 908; 27 206; 29 754; 30 401; 32 715; 34 914; 34 852; 35 858; 31 623; 25 000; 35 595; 37 041;36 881;36 171;34 584;31 721
Transport en service;789.0;684.0;838.0;415.0;253.0;259.0;178.0;179.0;221.0;287.0;191.0;151.0;186.0;293.0;655.0;230.0;80.0;122.0;74.0;112.0;64.0;115.0;140.0;36.0
Total; 28 360; 25 504; 28 142; 27 326; 27 329; 28 818; 28 470; 28 127; 27 129; 27 493; 29 945; 30 552; 32 901; 35 207; 35 507; 36 088; 31 703; 25 122; 35 669; 37 153;36 945;36 286;34 724;31 757
