;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
1ère classe;29.0;24.0;22.0;23.0;27.0;25.0;25.0;25.23;25.35;24.98;23.2;25.0;31.0;35.0;37.37;39.0;41.0;43.0;39.0;41.0;48.0;50.0;49.0;48.0
2ème classe;42.0;34.0;35.0;38.0;41.0;44.0;44.0;45.01;44.06;43.95;43.4;47.0;50.0;53.0;57.15;62.0;59.0;59.0;62.0;59.0;59.0;61.0;61.0;61.0
Taux d'occupation;38.0;35.0;36.0;40.0;42.0;47.0;47.0;48.05;46.92;46.86;46.6;50.0;53.0;56.0;60.21;66.0;61.0;61.0;66.0;61.0;57.0;59.0;60.0;59.0
