;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Total;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;1907.0;2138.0;2109.0;2109.0;2109.0;2109.0;2109.0;2109.0
Lignes électrifiées;1003.0;1003.0;1003.0;1003.0;1003.0;1003.0;1003.0;1003.0;1003.0;1003.0;1022.0;1014.0;1014.0;1014.0;1014.0;1245.0;1284.0;1284.0;  1 284; 1 284; 1 287;1287.0
    Voie unique;732.0;732.0;722.0;708.0;708.0;633.0;633.0;633.0;633.0;633.0;604.0;588.0;531.0;430.0;414.0;645.0;684.0;684.0;684.0;651.0;654.0;654.0
    Double voie;271.0;271.0;281.0;295.0;295.0;370.0;370.0;370.0;370.0;370.0;418.0;426.0;483.0;584.0;600.0;600.0;600.0;600.0;600.0;633.0;633.0;633.0
Lignes non électrifiées;904.0;904.0;904.0;904.0;904.0;904.0;904.0;904.0;904.0;904.0;885.0;893.0;893.0;893.0;893.0;893.0;825.0;825.0;825.0;825.0;822.0;822.0
    Voie unique non électrifiées;904.0;904.0;904.0;904.0;904.0;904.0;904.0;904.0;904.0;904.0;885.0;893.0;893.0;893.0;893.0;893.0;825.0;825.0;825.0;825.0;822.0;822.0
    Double voie non électrifiées;;;;;;;;;;;;;;;;;;;;;;
