;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
1ère classe;480.0;480.0;475.0;456.0;505.0;560.0;622.0;689.0;730.0;765.0;773.0;856.0;1153.0;1363.0;1455.0;1650.0;1713.0;1837.0;1907.0;2060.0;2 059;2 391;2 482;2 601
2ème classe; 6 918; 8 977; 9 406; 9 104; 10 155;10959.0;11268.0;11476.0;12336.0;12805.0;13912.0;15659.0;17389.0;19642.0;22127.0;24466.0;25814.0;27762.0;29003.0;31871.0;33 860;35 710;37 018;37 399
Total; 7 398; 9 457; 9 881; 9 560; 10 660;11519.0;11890.0;12165.0;13066.0;13570.0;14685.0;16515.0;18543.0;21005.0;23582.0;26116.0;27527.0;29599.0;30910.0;33931.0;36 021;38 101;39 500;40 000
