;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
 Vracs liquides;  12 595;  12 934;  13 567;  13 151;  11 372;  12 579;  12 686;  15 460;  14 718;  16 286;  14 806;  14 833;  16 912;  18 364;  17 549;  18 422;  16 496;  18 403;  20 765;  21 086;  21 104;20820.0;100819.0;21172.0;22423.0;18987.0;18101.0;18481.0;17623.0;18541.0
Vracs solides;  20 493;  20 687;  19 668;  23 091;  23 255;  25 187;  26 851;  27 623;  28 748;  30 829;  30 626;  28 723;  31 405;  34 946;  33 979;  38 298;  34 139;  25 540;  34 383;  35 200;  36 972;33955.0;100391.0;39152.0;44398.0;48789.0;51126.0;52772.0;58867.0;55895.0
 Marchandises générales;  7 219;  6 898;  7 554;  7 743;  8 007;  8 032;  8 688;  9 658;  9 978;  10 435;  11 556;  12 558;  13 186;  14 373;  15 296;  16 114;  17 080;  15 794;  14 087;  12 755;  13 090;13086.0;12128.0;21246.0;23436.0;44893.0;16086.0;16753.0;16021.0;16607.0
Total;  40 307;  40 519;  40 789;  43 985;  42 634;  45 798;  48 225;  52 741;  53 444;  57 550;  56 988;  56 114;  61 503;  67 485;  66 823;  72 717;  67 715;  59 736;  69 236;  69 041;  71 167;67861.0;213337.0;81571.0;90257.0;112669.0;85313.0;88006.0;92511.0;91043.0
