Date,TOTAL EXPORTATIONS (1000),TOTAL IMPORTATIONS  (1000),Evolution des prix des produits finis au cours des trois prochains mois
2024-02-01,74062858.2,115635361.858,0.0
2024-03-01,114361264.4,175614651.876,9.2693
2024-04-01,152284902.2,241027718.839,7.5671
2024-05-01,193156074.5,308766938.212,12.0409
2024-06-01,228974156.7,365665197.502,8.9462
2024-07-01,263664689.0,425812596.298,1.029
2024-08-01,296371346.9,492015592.0,2.0497
2024-09-01,334364543.5,557376923.997,-7.1283
2024-10-01,375388794.6,622945748.955,-9.1826
2024-11-01,416149254.8,695069133.266,
2024-12-01,456341800.5,761272128.475,
2025-01-01,35447523.35,59757493.103,
2025-02-01,73355066.16,124084446.741,
2025-03-01,116864350.9,187409020.0,
2025-04-01,155314337.0,262594262.0,
2025-05-01,199730982.0,331446964.0,
2025-06-01,237304990.2,397887182.296,
2025-07-01,276175394.7,469564390.738,
2025-08-01,307957924.3,533241755.383,
2025-09-01,347083059.0,605359403.064,
2025-10-01,386391944.3,682042978.21,
2025-11-01,425227500.9,752183493.361,
2025-12-01,470047718.7,822333299.344,
2026-01-01,34493368.87,59977500.351,
2026-02-01,74451053.61,127101731.088,
2026-03-01,120917692.4,208391260.583,
2026-04-01,168856296.0,295901146.0,
2026-05-01,211413853.0,370489665.0,
