Date,"Crédits à l’immobilier 
 (MDH) (Jan 18)","Crédits à l'habitat (MDH) (Jan 18) (déflaté, réel)"
2015-09-01,240644.8607,180498.7542
2015-10-01,241047.2923,180892.4763
2015-11-01,241650.8626,181794.0952
2015-12-01,240902.007,182761.5304
2016-01-01,240912.5383,183010.2344
2016-02-01,240801.7783,184122.4281
2016-03-01,241341.6517,185324.5694
2016-04-01,241845.4581,185617.3908
2016-05-01,243472.6169,186474.2876
2016-06-01,245054.3391,187286.8785
2016-07-01,245595.0862,187068.9947
2016-08-01,246011.4712,187719.3982
2016-09-01,246509.4855,187865.351
2016-10-01,247573.3219,188775.2382
2016-11-01,247033.7471,189409.3027
2016-12-01,246897.7467,189951.0501
2017-01-01,249985.7503,190424.9651
2017-02-01,249963.277,190948.1916
2017-03-01,251511.5873,192535.7876
2017-04-01,251389.9119,193057.6977
2017-05-01,252380.7474,193436.7875
2017-06-01,254314.1123,193519.5819
2017-07-01,255071.6753,195050.5255
2017-08-01,255215.4933,194921.0182
2017-09-01,255204.1892,193803.1905
2017-10-01,257725.5186,194760.3473
2017-11-01,257484.1374,193433.5383
2017-12-01,257814.803,193661.5987
2018-01-01,259095.0075,193598.5236
2018-02-01,259243.5839,195302.7735
2018-03-01,260301.9278,196256.4786
2018-04-01,261537.9409,196406.1696
2018-05-01,262606.0624,196430.0602
2018-06-01,264901.2435,197125.7578
2018-07-01,265741.9302,199726.9455
2018-08-01,266144.443,200125.075
2018-09-01,266111.1835,200318.2464
2018-10-01,266921.0789,201514.4226
2018-11-01,267626.8985,201656.996
2018-12-01,267714.1586,204225.9323
2019-01-01,267732.1706,205942.065
2019-02-01,268517.6779,205975.058
2019-03-01,269759.9475,207476.9507
2019-04-01,271517.6542,206802.7545
2019-05-01,273791.9782,206971.7789
2019-06-01,273804.5447,206287.6954
2019-07-01,273875.3606,208130.792
2019-08-01,274100.7533,207723.9086
2019-09-01,275156.1142,209114.5864
2019-10-01,275751.2419,209610.8661
2019-11-01,276251.8016,209577.3407
2019-12-01,277095.4814,209723.294
2020-01-01,276786.5209,210463.0887
2020-02-01,277920.0678,212076.7379
2020-03-01,278676.2716,211275.1257
2020-04-01,277228.0139,209540.3547
2020-05-01,276879.7053,209758.3632
2020-06-01,278557.1118,211471.4826
2020-07-01,279271.3079,212669.8175
2020-08-01,279229.9953,210387.0686
2020-09-01,280280.7198,210873.9251
2020-10-01,281553.6205,212262.4277
2020-11-01,282811.6616,214778.4664
2020-12-01,285326.8988,217594.4233
2021-01-01,284127.0027,217799.7088
2021-02-01,284799.5151,218838.7722
2021-03-01,286424.7964,220042.8695
2021-04-01,287991.0085,219320.1032
2021-05-01,289786.7231,219912.8222
2021-06-01,291302.244,223104.6218
2021-07-01,289814.555,222141.0706
2021-08-01,289751.7207,221573.6719
2021-09-01,290496.4392,221072.0243
2021-10-01,290374.8457,219844.7699
2021-11-01,291103.2826,220197.5074
2021-12-01,292730.8351,220688.8957
2022-01-01,294035.2394,221269.9669
2022-02-01,293582.2328,220301.0327
2022-03-01,294922.6276,217166.9563
2022-04-01,295324.088,213789.5217
2022-05-01,296152.8313,213728.9128
2022-06-01,298051.1252,213338.8694
2022-07-01,297009.8496,211525.7413
2022-08-01,297507.2367,211344.3534
2022-09-01,298036.4733,209754.639
2022-10-01,298952.1753,209333.6285
2022-11-01,299268.6553,209109.4253
2022-12-01,301105.4515,209435.3275
2023-01-01,301122.308,208569.5178
2023-02-01,301112.8885,205411.2612
2023-03-01,301336.7435,205988.8209
2023-04-01,301966.9131,203118.429
2023-05-01,301846.7172,204497.5481
2023-06-01,304230.3681,207162.3206
2023-07-01,302621.6753,206339.578
2023-08-01,303003.8705,205825.6542
2023-09-01,303107.6864,204311.9059
