Date,POISSON PELAGIQUE,CEPHALOPODES
2008-12-01,821282.0,1445394
2009-12-01,938148.0,1104275
2010-09-01,721846.0,1307780
2010-10-01,845899.0,858539
2010-12-01,965374.0,912169
2011-02-01,98282.0,407639
2011-03-01,310899.0,11253
2011-04-01,176932.0,707555
2011-05-01,198634.0,796871
2011-06-01,256726.0,852014
2011-07-01,320701.0,1001312
2011-09-01,499468.0,1307780
2011-10-01,631721.0,1377715
2011-11-01,696563.0,1582510
2011-12-01,781730.0,1813087
2012-01-01,65442.0,179069
2012-02-01,98055.0,322911
2012-03-01,161502.0,445063
2012-04-01,233354.0,490028
2012-05-01,335135.0,600438
2012-06-01,410458.0,803945
2012-07-01,484264.0,992745
2012-08-01,557609.0,1099723
2012-09-01,699666.0,1137077
2012-10-01,788441.0,1174064
2012-11-01,877579.0,1339977
2012-12-01,979762.0,1607223
2013-01-01,60142.0,159042
2013-02-01,132737.0,284094
2013-03-01,211412.0,449908
2013-04-01,277862.0,493739
2013-05-01,348119.0,529438
2013-06-01,433400.0,699807
2013-07-01,554225.0,823736
2013-08-01,657516.0,866905
2013-09-01,784353.0,906520
2013-10-01,833260.0,926618
2013-11-01,926795.0,1189840
2013-12-01,1033893.0,1429093
2014-01-01,61444.0,112701
2014-02-01,121918.0,174491
2014-03-01,188972.0,272554
2014-04-01,298011.0,327547
2014-05-01,385936.0,375333
2014-06-01,491408.0,728376
2014-07-01,571328.0,892532
2014-08-01,673538.0,1047119
2014-09-01,816268.0,1088516
2014-10-01,925031.0,1108085
2014-11-01,1055572.0,1294003
2014-12-01,1153015.0,1730584
2015-01-01,57381.0,140004
2015-02-01,112323.0,409612
2015-03-01,186140.0,576868
2015-04-01,237106.0,624689
2015-05-01,339857.0,686645
2015-06-01,471530.0,1089054
2015-07-01,542925.0,1201015
2015-08-01,688149.0,1377273
2015-09-01,776738.0,1393348
2015-10-01,915648.0,1425215
2015-11-01,1021746.0,1456948
2015-12-01,1132236.0,2107343
2016-02-01,180205.0,414363
2016-03-01,261158.0,582365
2016-04-01,360743.0,651891
2016-05-01,482563.0,721689
2016-06-01,582986.0,1047009
2016-07-01,663465.0,1261523
2016-08-01,809980.0,1499329
2016-09-01,867964.0,1521769
2016-10-01,1023097.0,1576032
2016-11-01,1149534.0,1655874
2016-12-01,1225914.0,2214955
2017-01-01,69123.0,453286
2017-02-01,139732.0,694280
2017-03-01,207550.0,945166
2017-05-01,456081.0,1072260
2017-06-01,525933.0,1294425
2017-07-01,656991.0,1679285
2017-08-01,739593.0,1916191
2017-09-01,832823.0,1952326
2017-10-01,980710.0,1995710
2017-11-01,1098197.0,2023057
2017-12-01,1165003.0,2680598
2018-01-01,66571.0,378877
2018-02-01,120105.0,793576
2018-03-01,200687.0,1137833
2018-04-01,291032.0,1209986
2018-05-01,395378.0,1269590
2018-06-01,471625.0,1297314
2018-08-01,655466.0,2306628
2018-09-01,793726.0,2562468
2018-10-01,970340.0,2596917
2018-11-01,1069446.0,2621549
2018-12-01,1189229.0,2664645
2019-03-01,232322.0,1250575
2019-04-01,329185.0,1313896
2019-06-01,513397.0,1660815
2019-07-01,635735.0,1924776
2019-08-01,688155.0,2064275
2019-09-01,841543.0,2239786
2019-10-01,1025940.0,2305188
2019-11-01,1121981.0,2358553
2019-12-01,1253281.0,2437527
2020-01-01,76473.0,620272
2020-03-01,190946.0,1096877
2020-05-01,331755.0,1245122
2020-06-01,457984.0,1304809
2020-08-01,630341.0,1830663
2020-09-01,779410.0,2064769
2020-10-01,899316.0,2127599
2020-11-01,1042482.0,2188802
2020-12-01,1139197.0,2269699
2021-01-01,50357.0,757874
2021-02-01,107903.0,1060480
2021-03-01,191733.0,1506555
2021-04-01,273447.0,1799311
2021-05-01,333178.0,1871764
2021-06-01,435339.0,2313292
2021-07-01,496866.0,2602763
2021-08-01,589290.0,3200125
2021-09-01,727331.0,3426465
2021-10-01,869844.0,3507208
2021-11-01,1018146.0,3601183
2021-12-01,1149315.0,4202642
2022-01-01,25050.0,935683
2022-02-01,76951.0,1440130
2022-03-01,140313.0,1953258
2022-04-01,246132.0,2044642
2022-05-01,396011.0,2123176
2022-06-01,558960.0,2177871
2022-07-01,625419.0,2508495
2022-08-01,785533.0,3013247
2022-09-01,969351.0,3191929
2022-10-01,1118988.0,3317328
2022-11-01,,3400014
2022-12-01,1347813.0,3915654
2023-01-01,14036.0,716504
2023-02-01,84112.0,1328582
2023-03-01,158722.0,1635267
2023-04-01,228456.0,1829649
2023-05-01,342654.0,2107384
2023-06-01,431428.0,2259559
2023-07-01,494386.0,2848364
2023-08-01,612228.0,3379197
2023-09-01,742007.0,3586925
2023-10-01,905765.0,3695074
2023-11-01,1034225.0,3835159
2023-12-01,1120671.0,3987275
2024-01-01,13434.0,872283
2024-02-01,55109.0,1340371
2024-03-01,126056.0,1819468
2024-04-01,201303.0,1982113
2024-05-01,312936.0,2157662
2024-06-01,378849.0,2296213
2024-07-01,515559.0,3202094
2024-08-01,637390.0,3701091
2024-09-01,774976.0,4049206
2024-10-01,921184.0,4128286
2024-11-01,1026701.0,4260401
2024-12-01,1116000.0,4384861
2025-01-01,8921.0,1129586
2025-02-01,29565.0,1691297
2025-03-01,80713.0,2138545
2025-04-01,138631.0,2189631
2025-05-01,237118.0,2293925
2025-06-01,300581.0,2351034
2025-07-01,412542.0,3095349
2025-08-01,538865.0,3629291
2025-09-01,649464.0,3846681
2025-10-01,757613.0,3941271
2025-11-01,836341.0,4040581
2025-12-01,909750.0,4116916
2026-01-01,3854.0,1276829
2026-02-01,18462.0,1822170
2026-03-01,41237.0,2300067
2026-04-01,135436.0,2397325
2026-05-01,195241.0,2594568
